1,"m003(-3,1)",0.9427073627769277209212996031,0.77442660700998267,(0.584603685018+2.49537045556j),(0.584603685018+2.49537045556j),0.525311320210391
2,"m003(-2,3)",0.9813688288922320880914521898,0.85558912299978784,(0.578082435532+2.13243063615j),(0.721568366314-1.15121298988j),0.709901927489093
3,"m007(3,1)",1.014941606409653625021202554,0.831442945529311,(0.831442945529-1.9455307595j),(0.831442945529-1.9455307595j),0.0
4,"m003(-4,3)",1.263709238658043655884716347,0.81380594505552206,(0.57507858085-1.74532234905j),(0.666835927029+2.82503374748j),0.589797787536381
5,"m004(6,1)",1.284485300468354442460337085,0.84717449213357554,(0.480311803385-0.933776656666j),(0.757572247887+2.06174611762j),0.871267945712766
6,"m004(1,2)",1.398508884150806640509594327,0.94551156717233942,(0.366130702346+3.11358994025j),(0.906895581534+1.35222272907j),0.949309707191818
7,"m009(4,1)",1.414061044165391581381949405,0.94765688897336231,(0.843598722969-1.4077154426j),(0.853971759056+0.886069276602j),0.64151707919918
8,"m003(-3,4)",1.414061044165391581381949405,0.92151797594488183,(0.843598722969-1.4077154426j),(0.858021257617+2.84667559882j),0.415527753532174
9,"m003(-4,1)",1.423611900292825249809949152,0.86366548067213322,(0.722194467718+2.56160460108j),(0.722194467718+2.56160460108j),0.481128742880531
10,"m004(3,2)",1.440699006727364875282370223,0.91148953628390705,(0.36152157612+3.0518203523j),(0.796623090449+1.475059822j),1.004578977863829
11,"m004(7,1)",1.463776644927238773375694091,0.88989906975966371,(0.356645033638-0.804380877897j),(0.857812947704+2.00585456563j),1.001554069704393
12,"m004(5,2)",1.529477329430026262824928630,0.90583495890962762,(0.335975531076+2.97614579287j),(0.763962765464+1.63073274262j),1.072214969432689
13,"m003(-5,3)",1.543568911471855074328472943,0.90169234423548317,(0.706835690896+2.69574745j),(0.797871920114-1.88038779158j),0.523930529396281
14,"m007(1,2)",1.543568911471855074328472943,0.88492195033643595,(0.797871920114+1.88038779158j),(0.797871920114+1.88038779158j),0.444131825865385
15,"m007(4,1)",1.583166660624812836166028852,0.93018757765154214,(0.920913722295+1.96158758092j),(0.920913722295+1.96158758092j),0.146461813057174
16,"m007(3,2)",1.583166660624812836166028852,0.88342564279606905,(0.777493888276+2.9249298132j),(0.777493888276+2.9249298132j),0.411452408779307
17,"m006(3,1)",1.588646639300162988176913812,0.873654762848741,(0.609377863436+2.73796784113j),(0.716516698435+2.34444280205j),0.57648976407927
18,"m003(-5,4)",1.588646639300162988176913812,0.89529478657601502,(0.755947576193+2.76772192872j),(0.785214119642-1.70415259537j),0.501765982157224
19,"m006(-3,2)",1.649609715808664120798395882,0.94766189657421285,(0.542123832827-2.78937097753j),(0.82621731893+1.75785753233j),0.66714416679155
20,"m015(5,1)",1.757126029188451362874746594,0.9821041538238221,(0.705362977871-0.877515924278j),(0.953669685298+1.59657793547j),0.757107067650566
21,"m007(-3,2)",1.824344322202911961274957218,1.0378300292588059,(0.468007226373-2.91127142408j),(0.94626541017+1.69940527039j),0.716206893584059
22,"m009(5,1)",1.831931188354438030109207030,0.99674399981288986,(0.530637530953-1.11851787964j),(0.88137358702-1.57079632679j),0.984318962896549
23,"m010(-2,3)",1.831931188354438030109207030,1.061275061904964,(0.88137358702-1.57079632679j),(1.0612750619-2.23703575929j),0.0
24,"m009(-5,1)",1.831931188354438030109207030,0.92459362246941823,(0.48121182506-1.57079632679j),(0.530637530953+1.11851787964j),1.152754515621749
25,"m011(1,3)",1.831931188354438030109207030,0.9668301623798482,(0.530637530953+2.02307477395j),(0.530637530952+2.02307477395j),0.922363507921806
26,"m006(1,3)",1.831931188354438030109207030,0.93656492670621494,(0.530637530953+2.02307477395j),(0.530637530953+2.02307477395j),0.881373587019532
27,"m007(-5,1)",1.843585972326677938720454755,1.0359493640878312,(0.477961349958+1.16304292543j),(0.480433913874+3.09275961633j),1.193615056123468
28,"m009(1,2)",1.843585972326677938720454755,1.0164282770990332,(0.480433913874+3.09275961633j),(0.600030116066-1.08986563218j),1.114619226342218
29,"m016(-3,2)",1.885414725553855441842599206,0.90961010688137378,(0.729789373052-3.02669828218j),(0.794134662992+2.30485681674j),0.499195056396344
30,"m007(5,1)",1.885414725553855441842599206,0.97311988025047758,(0.952314712078+1.9464910001j),(0.952314712078+1.9464910001j),0.223499191110198
31,"m006(-1,3)",1.885414725553855441842599206,0.88594852775780664,(0.644925580758+1.89963034476j),(0.729789373052-3.02669828218j),0.602349428242709
32,"m017(-3,2)",1.885414725553855441842599206,0.93925826762969677,(0.584603685018-2.49537045556j),(0.584603685018-2.49537045556j),0.7595622438552
33,"m006(3,2)",1.885914256019060483739633780,0.89641245534613245,(0.657593180206+2.23646921038j),(0.735618975232+2.81976878996j),0.581385402239067
34,"m010(-1,3)",1.910843793089988869555461112,0.9987052867355205,(0.938351229519+2.29048786654j),(0.938351229519+2.29048786654j),0.355364656940556
35,"m011(2,3)",1.912210250052432112134089530,1.0166345590197365,(0.499163505836-2.23238153675j),(0.580298538149+1.99781559858j),0.958516617752239
36,"m006(4,1)",1.922297109548830089322560480,0.90850485184661045,(0.613736800789+2.84591311954j),(0.761309371891+2.25528062873j),0.596758072373968
37,"m006(-5,1)",1.941503084027467793730320128,1.0123708593018446,(0.425721998618+1.2784288716j),(0.976899379471+2.15798344025j),0.843024848052977
38,"m009(3,2)",1.941503084027467793730320128,1.0584208144652156,(0.464306096866+2.97848124204j),(0.768948500676-1.11983912624j),1.077972590426627
39,"m006(-2,3)",1.953708315421874585623066435,0.89715893353637144,(0.662887553978-3.04659085928j),(0.703902707731+1.88778592611j),0.622521885421221
40,"m006(2,3)",1.962737657784464176182904380,0.93561244386505626,(0.578082435532+2.13243063615j),(0.578082435532+2.13243063615j),0.814647880448944
41,"m017(-1,3)",1.962737657784464176182904380,0.93859993594491664,(0.578082435532-2.13243063615j),(0.578082435532-2.13243063615j),0.818807313649526
42,"m023(-4,1)",2.014336583776842504278826477,0.956738228060249,(0.620570269098+1.27969555082j),(0.620570269098+1.27969555082j),1.083532042238027
43,"m007(5,2)",2.025945281864896308551124662,0.95560520978476116,(0.934952776656+1.91981170607j),(0.934952776656+1.91981170607j),0.22272615805455
44,"m006(-5,2)",2.028853091474922845797067757,1.0269082794696887,(0.490574696797+3.11214595588j),(0.94159568152+1.96080126481j),0.674734923640445
45,"m036(-3,2)",2.029883212819307250042405109,0.93948376141355328,(0.862554627662-2.68067318785j),(0.862554627662+2.68067318785j),0.369498971925805
46,"m015(6,1)",2.029883212819307250042405109,0.98314658616053141,(0.543535072498-0.861384224935j),(0.862554627662-2.68067318785j),1.014937763460398
47,"m016(-2,3)",2.029883212819307250042405109,0.97324831194727301,(0.543535072498+2.28020842865j),(0.543535072498-2.28020842865j),0.86729492097743
48,"m010(-4,3)",2.029883212819307250042405109,1.0794661598774713,(0.431277313831-1.80125605967j),(0.831442945529-1.19606189409j),1.108655249782579
49,"m019(3,2)",2.029883212819307250042405109,1.0350133933891346,(0.543535072497+2.28020842865j),(0.862554627662+2.68067318785j),0.756520462525821
50,"m011(-3,1)",2.029883212819307250042405109,0.98659326547497217,(0.431277313831+1.80125605967j),(0.431277313831+1.80125605967j),1.089551352480323
51,"m010(4,1)",2.029883212819307250042405109,0.92958250033333667,(0.431277313831-1.34033659392j),(0.862554627662+2.68067318785j),0.785979946624257
52,"m007(-6,1)",2.055546748857116615804239443,1.0410796673765081,(0.330425064181+0.975315057175j),(0.539182365057+3.1240095752j),1.35154560341258
53,"m010(3,2)",2.058484368193033362456050740,0.9281981403221693,(0.473403984485-1.47771931899j),(0.791391925226+2.54961635352j),0.800632898483406
54,"m016(-4,1)",2.058484368193033362456050740,0.93186116749960268,(0.632974319201+3.14159265359j),(0.791391925226+2.54961635352j),0.585448076779431
55,"m009(6,1)",2.062451625903838077752949924,0.96143178984521349,(0.377933762621-0.945670694003j),(0.793948350254-1.51250389174j),1.18971008085817
56,"m009(-6,1)",2.062451625903838077752949924,0.91933998611224843,(0.377933762621+0.945670694003j),(0.538805397119-1.52735482257j),1.300555967588662
57,"m007(-5,2)",2.065670838488380741576307933,1.0648232665081039,(0.351957641887-2.80301215869j),(1.0424922937+1.78498241832j),0.912669102855567
58,"m015(-5,1)",2.103095290704729082079225379,0.99964780533465203,(0.440457529021+0.933852406772j),(0.534801347503-3.03229196632j),1.255419470286721
59,"m010(1,3)",2.108636128286059392787413954,0.9633238750387203,(0.603993038748-1.53541795052j),(0.858093191299+2.41726856557j),0.72449889444674
60,"m016(3,2)",2.114567693110222238090213031,1.0401202059325754,(0.617504220235+2.90577038997j),(1.01470326039-2.14579262947j),0.53558260619106
